seed,metric,configuration,step,loss
2,hessian,G1M0S1,299,-25.290189243522324
2,hessian,G1M1S0,0,-0.011455584795317584
2,hessian,G1M1S0,75,-25.29001440661893
2,hessian,G1M1S0,150,-25.290206810768574
2,hessian,G1M1S0,225,-25.290206813665307
2,hessian,G1M1S0,299,-25.290206813665353
2,hessian,G1M1S1,0,-0.011455584795317584
2,hessian,G1M1S1,75,-25.28997355155171
2,hessian,G1M1S1,150,-25.290193040987866
2,hessian,G1M1S1,225,-25.29019315021608
2,hessian,G1M1S1,299,-25.290193150782954
3,control,G0M0S0,0,0.187623669504918
3,control,G0M0S0,75,-9.427333459136772
3,control,G0M0S0,150,-23.26226448440651
3,control,G0M0S0,225,-24.198650154501262
3,control,G0M0S0,299,-24.28747198700744
3,control,G0M0S1,0,0.187623669504918
3,control,G0M0S1,75,-9.425400526089899
3,control,G0M0S1,150,-23.262163371228063
3,control,G0M0S1,225,-24.19881965797323
3,control,G0M0S1,299,-24.287738167023537
3,control,G0M1S0,0,0.187623669504918
3,control,G0M1S0,75,-10.644689577416703
3,control,G0M1S0,150,-23.910507539267492
3,control,G0M1S0,225,-24.233364171633824
3,control,G0M1S0,299,-24.334907902550828
3,control,G0M1S1,0,0.187623669504918
3,control,G0M1S1,75,-10.64263518632567
3,control,G0M1S1,150,-23.910625252651553
3,control,G0M1S1,225,-24.233536656560354
3,control,G0M1S1,299,-24.3352293362654
3,control,G1M0S0,0,0.187623669504918
3,control,G1M0S0,75,-9.443325652124333
3,control,G1M0S0,150,-23.27993609255728
3,control,G1M0S0,225,-24.197610302267165
3,control,G1M0S0,299,-24.28635132751693
