step,optimizer,loss
159,adam,19.9766340556
159,falling_ball,19.996848519
159,entropy_descent,17.2707536728
159,hamiltonian_geometric,17.1128000398
160,sgd,19.9993278057
160,adam,19.9764933065
160,falling_ball,19.9968313906
160,entropy_descent,17.269955478
160,hamiltonian_geometric,17.1124712369
161,sgd,19.9993243272
161,adam,19.9763524344
161,falling_ball,19.9968142848
161,entropy_descent,17.2691682749
161,hamiltonian_geometric,17.11214457
162,sgd,19.9993208522
162,adam,19.9762110902
162,falling_ball,19.9967972014
162,entropy_descent,17.2683917612
162,hamiltonian_geometric,17.1118200377
163,sgd,19.9993173809
163,adam,19.9760693812
163,falling_ball,19.9967801403
163,entropy_descent,17.2676256452
163,hamiltonian_geometric,17.1114976419
164,sgd,19.999313913
164,adam,19.9759273975
164,falling_ball,19.9967631014
164,entropy_descent,17.2668696461
164,hamiltonian_geometric,17.1111773856
165,sgd,19.9993104487
165,adam,19.9757849922
165,falling_ball,19.9967460845
165,entropy_descent,17.2661234929
165,hamiltonian_geometric,17.1108592712
166,sgd,19.9993069878
166,adam,19.9756422701
166,falling_ball,19.9967290896
166,entropy_descent,17.2653869245
166,hamiltonian_geometric,17.1105432988
167,sgd,19.9993035304
167,adam,19.9754992154
167,falling_ball,19.9967121165
167,entropy_descent,17.264659689
167,hamiltonian_geometric,17.1102294651
168,sgd,19.9993000765
168,adam,19.9753558005
168,falling_ball,19.9966951651
168,entropy_descent,17.2639415435
168,hamiltonian_geometric,17.1099177628
169,sgd,19.999296626
169,adam,19.9752120662
169,falling_ball,19.9966782353
169,entropy_descent,17.2632322539
169,hamiltonian_geometric,17.1096081805
170,sgd,19.9992931788
170,adam,19.9750679555
170,falling_ball,19.996661327
170,entropy_descent,17.262531594
170,hamiltonian_geometric,17.1093007028
171,sgd,19.999289735
171,adam,19.9749235185
171,falling_ball,19.9966444401
171,entropy_descent,17.261839346
171,hamiltonian_geometric,17.1089953107
172,sgd,19.9992862946
172,adam,19.9747787819
172,falling_ball,19.9966275744
172,entropy_descent,17.2611552995
172,hamiltonian_geometric,17.1086919822
173,sgd,19.9992828575
173,adam,19.9746336485
173,falling_ball,19.9966107298
173,entropy_descent,17.2604792515
173,hamiltonian_geometric,17.1083906934
174,sgd,19.9992794237
174,adam,19.9744882074
174,falling_ball,19.9965939063
174,entropy_descent,17.2598110062
174,hamiltonian_geometric,17.1080914192
175,sgd,19.9992759931
175,adam,19.9743424565
175,falling_ball,19.9965771037
175,entropy_descent,17.2591503745
175,hamiltonian_geometric,17.107794134
176,sgd,19.9992725658
176,adam,19.9741963223
176,falling_ball,19.9965603219
176,entropy_descent,17.2584971739
176,hamiltonian_geometric,17.1074988125
177,sgd,19.9992691418
177,adam,19.9740498841
177,falling_ball,19.9965435608
177,entropy_descent,17.2578512282
177,hamiltonian_geometric,17.1072054307
178,sgd,19.9992657209
178,adam,19.9739031288
178,falling_ball,19.9965268203
178,entropy_descent,17.2572123673
178,hamiltonian_geometric,17.1069139656
179,sgd,19.9992623033
179,adam,19.9737560177
179,falling_ball,19.9965101003
179,entropy_descent,17.2565804268
179,hamiltonian_geometric,17.1066243961
180,sgd,19.9992588888
180,adam,19.9736085849
180,falling_ball,19.9964934006
180,entropy_descent,17.2559552481
180,hamiltonian_geometric,17.1063367029
181,sgd,19.9992554774
181,adam,19.9734608319
181,falling_ball,19.9964767213
181,entropy_descent,17.2553366778
181,hamiltonian_geometric,17.1060508684
182,sgd,19.9992520692
182,adam,19.9733127515
182,falling_ball,19.9964600621
182,entropy_descent,17.2547245678
182,hamiltonian_geometric,17.1057668769
183,sgd,19.999248664
183,adam,19.9731643458
183,falling_ball,19.996443423
183,entropy_descent,17.254118775
183,hamiltonian_geometric,17.1054847138
184,sgd,19.999245262
184,adam,19.9730156105
184,falling_ball,19.9964268038
184,entropy_descent,17.2535191609
184,hamiltonian_geometric,17.1052043657
185,sgd,19.999241863
185,adam,19.9728665618
185,falling_ball,19.9964102046
185,entropy_descent,17.252925592
